ts_code,day_group,group_value,year_element,n_cell,marginal_mean,marginal_mean_all,marginal_effect_vs_all,jiazi_idx,hac_maxlags,formula
000300.SH,ganzhi_day,乙卯,土,9,0.004052221345085818,0.00016080668062183688,0.0038914146644639814,51,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,乙卯,金,16,-0.0011233898144200774,0.00016080668062183688,-0.0012841964950419142,51,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,乙卯,水,16,-0.0009773864172900103,0.00016080668062183688,-0.001138193097911847,51,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,乙巳,木,14,0.005737690461778827,0.00016080668062183688,0.00557688378115699,41,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,乙巳,火,9,-0.004003816798717249,0.00016080668062183688,-0.004164623479339086,41,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,乙巳,土,9,-0.000810214718533239,0.00016080668062183688,-0.0009710213991550758,41,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,乙巳,金,17,0.0035224600306947673,0.00016080668062183688,0.0033616533500729303,41,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,乙巳,水,17,-0.0009247420827092111,0.00016080668062183688,-0.001085548763331048,41,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,乙未,木,17,0.004018010174326815,0.00016080668062183688,0.003857203493704978,31,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,乙未,火,9,0.00288276716322414,0.00016080668062183688,0.002721960482602303,31,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,乙未,土,9,-0.0012300640875580107,0.00016080668062183688,-0.0013908707681798476,31,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,乙未,金,14,-0.005954319751797881,0.00016080668062183688,-0.006115126432419718,31,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,乙未,水,15,-0.0015490509507462688,0.00016080668062183688,-0.0017098576313681058,31,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,乙酉,木,16,-0.0069545283678519795,0.00016080668062183688,-0.0071153350484738165,21,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,乙酉,火,8,0.003261892846280382,0.00016080668062183688,0.003101086165658545,21,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,乙酉,土,9,0.0028841180645084235,0.00016080668062183688,0.0027233113838865865,21,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,乙酉,金,16,-0.0008889699835609298,0.00016080668062183688,-0.0010497766641827666,21,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,乙酉,水,16,-0.000269401102379447,0.00016080668062183688,-0.00043020778300128387,21,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,壬午,木,14,-0.0017539430888668397,0.00016080668062183688,-0.0019147497694886766,18,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,壬午,火,8,0.004274822797736953,0.00016080668062183688,0.004114016117115116,18,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,壬午,土,9,-0.009357527704855187,0.00016080668062183688,-0.009518334385477023,18,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,壬午,金,15,0.00044512279985128557,0.00016080668062183688,0.0002843161192294487,18,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,壬午,水,17,0.0016300874789567797,0.00016080668062183688,0.0014692807983349427,18,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,壬子,木,17,0.0038746444024650283,0.00016080668062183688,0.0037138377218431913,48,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,壬子,火,9,0.00565822500536267,0.00016080668062183688,0.005497418324740833,48,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,壬子,土,9,0.003218976700813678,0.00016080668062183688,0.003058170020191841,48,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,壬子,金,16,0.008243297080954046,0.00016080668062183688,0.00808249040033221,48,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,壬子,水,15,0.003170127671338502,0.00016080668062183688,0.003009320990716665,48,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,壬寅,木,17,-0.0008844907415207019,0.00016080668062183688,-0.0010452974221425387,38,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,壬寅,火,9,0.005649801700313673,0.00016080668062183688,0.005488995019691836,38,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,壬寅,土,9,0.007784023910052254,0.00016080668062183688,0.007623217229430417,38,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,壬寅,金,17,-0.00010252937705434519,0.00016080668062183688,-0.00026333605767618205,38,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,壬寅,水,15,0.002251594841792682,0.00016080668062183688,0.002090788161170845,38,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,壬戌,木,18,0.00032456697067769673,0.00016080668062183688,0.00016376029005585986,58,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,壬戌,火,6,-0.0006806929798943043,0.00016080668062183688,-0.0008414996605161411,58,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,壬戌,土,9,0.0003692205546066899,0.00016080668062183688,0.00020841387398485303,58,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,壬戌,金,15,0.00033742566845229024,0.00016080668062183688,0.00017661898783045336,58,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,壬戌,水,16,0.000939917130773568,0.00016080668062183688,0.0007791104501517312,58,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,壬申,木,16,-0.006264868983041373,0.00016080668062183688,-0.00642567566366321,8,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,壬申,火,8,-0.0033149016686971344,0.00016080668062183688,-0.0034757083493189714,8,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,壬申,土,6,-0.014233402517029568,0.00016080668062183688,-0.014394209197651404,8,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
