ts_code,day_group,group_value,year_element,n_cell,marginal_mean,marginal_mean_all,marginal_effect_vs_all,jiazi_idx,hac_maxlags,formula
399001.SZ,ganzhi_day,丙寅,金,17,-0.0018866542839885453,0.0001287476267560596,-0.0020154019107446047,2,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
399001.SZ,ganzhi_day,丙寅,水,16,-0.004940631949716154,0.0001287476267560596,-0.0050693795764722134,2,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
399001.SZ,ganzhi_day,丙戌,木,17,0.0049462573047803935,0.0001287476267560596,0.004817509678024334,22,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
399001.SZ,ganzhi_day,丙戌,火,8,-0.0030586997307508615,0.0001287476267560596,-0.003187447357506921,22,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
399001.SZ,ganzhi_day,丙戌,土,8,0.007086470393315298,0.0001287476267560596,0.006957722766559238,22,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
399001.SZ,ganzhi_day,丙戌,金,16,-0.002398801074716268,0.0001287476267560596,-0.002527548701472328,22,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
399001.SZ,ganzhi_day,丙戌,水,18,0.0004696879442200655,0.0001287476267560596,0.0003409403174640059,22,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
399001.SZ,ganzhi_day,丙申,木,17,0.0024905604820267286,0.0001287476267560596,0.002361812855270669,32,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
399001.SZ,ganzhi_day,丙申,火,8,0.004863935875929816,0.0001287476267560596,0.004735188249173757,32,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
399001.SZ,ganzhi_day,丙申,土,9,0.001807383227303227,0.0001287476267560596,0.0016786356005471675,32,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
399001.SZ,ganzhi_day,丙申,金,15,0.004241125737653121,0.0001287476267560596,0.004112378110897061,32,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
399001.SZ,ganzhi_day,丙申,水,16,-0.0029782086826603263,0.0001287476267560596,-0.003106956309416386,32,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
399001.SZ,ganzhi_day,丙辰,木,17,-0.0003904950320497075,0.0001287476267560596,-0.000519242658805767,52,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
399001.SZ,ganzhi_day,丙辰,火,8,0.0003385282626636745,0.0001287476267560596,0.0002097806359076149,52,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
399001.SZ,ganzhi_day,丙辰,土,10,-0.0035879353742071544,0.0001287476267560596,-0.003716683000963214,52,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
399001.SZ,ganzhi_day,丙辰,金,16,-0.002651637412329306,0.0001287476267560596,-0.002780385039085366,52,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
399001.SZ,ganzhi_day,丙辰,水,15,-0.003964694265466686,0.0001287476267560596,-0.004093441892222746,52,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
399001.SZ,ganzhi_day,乙丑,木,15,0.0007266778820895256,0.0001287476267560596,0.000597930255333466,1,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
399001.SZ,ganzhi_day,乙丑,火,8,0.003985490162992955,0.0001287476267560596,0.003856742536236895,1,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
399001.SZ,ganzhi_day,乙丑,土,9,-0.004728518313156793,0.0001287476267560596,-0.004857265939912853,1,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
399001.SZ,ganzhi_day,乙丑,金,17,-0.002493357191642947,0.0001287476267560596,-0.0026221048183990067,1,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
399001.SZ,ganzhi_day,乙丑,水,17,0.00421201866467743,0.0001287476267560596,0.00408327103792137,1,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
399001.SZ,ganzhi_day,乙亥,木,16,0.007117014969373719,0.0001287476267560596,0.006988267342617659,11,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
399001.SZ,ganzhi_day,乙亥,火,8,-0.0010892533491828774,0.0001287476267560596,-0.001218000975938937,11,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
399001.SZ,ganzhi_day,乙亥,土,8,0.00027046253045715814,0.0001287476267560596,0.00014171490370109855,11,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
399001.SZ,ganzhi_day,乙亥,金,16,-0.001688864878712847,0.0001287476267560596,-0.0018176125054689067,11,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
