group_value,year_element,k_used,mean_effect,mean_effect_bp,sign_consistent_count,n_median,n_min,min_sign_required,pass_direction,abs_mean_bp
庚辰,土,4,-0.0031074148200340747,-31.074148200340748,4,8.0,8,3,True,31.074148200340748
丁酉,火,4,-0.00308173580877845,-30.8173580877845,4,9.0,9,3,True,30.8173580877845
壬辰,金,4,-0.003061191380189075,-30.61191380189075,4,17.0,17,3,True,30.61191380189075
辛亥,木,4,0.003016256038780025,30.162560387800248,4,15.0,15,3,True,30.162560387800248
丙辰,水,4,-0.0029491280711281247,-29.49128071128125,4,15.0,15,3,True,29.49128071128125
己丑,火,4,0.002935009945280325,29.35009945280325,4,7.0,7,3,True,29.35009945280325
庚子,水,4,0.002931159037714075,29.31159037714075,4,17.0,17,3,True,29.31159037714075
甲寅,木,4,-0.0029230125318978253,-29.230125318978253,4,17.0,17,3,True,29.230125318978253
戊午,木,4,0.0029118927968151747,29.11892796815175,4,17.0,17,3,True,29.11892796815175
癸巳,水,4,-0.0028708330264923,-28.708330264923,4,15.0,15,3,True,28.708330264923
己亥,火,4,0.002833242153301775,28.33242153301775,4,8.0,8,3,True,28.33242153301775
丙申,水,4,-0.002830362311763625,-28.30362311763625,4,16.0,16,3,True,28.30362311763625
乙亥,水,4,-0.00281854152187825,-28.185415218782502,4,18.0,18,3,True,28.185415218782502
丙辰,土,4,-0.0027400871239875,-27.400871239875,4,10.0,10,3,True,27.400871239875
丁卯,土,4,-0.002725326803113225,-27.25326803113225,4,7.0,7,3,True,27.25326803113225
戊申,金,4,-0.002698981837445725,-26.98981837445725,4,15.0,15,3,True,26.98981837445725
甲辰,火,4,0.0026643659841074,26.643659841073998,4,9.0,9,3,True,26.643659841073998
壬申,水,4,0.0026614260421833997,26.614260421833997,4,17.0,17,3,True,26.614260421833997
辛卯,火,4,-0.002648557603971325,-26.485576039713248,4,9.0,9,3,True,26.485576039713248
乙未,火,4,0.00262848568257395,26.2848568257395,4,9.0,9,3,True,26.2848568257395
丙辰,金,4,-0.0026184058421080247,-26.18405842108025,4,16.0,16,3,True,26.18405842108025
丙申,金,4,0.002601520347663225,26.01520347663225,4,15.0,15,3,True,26.01520347663225
乙丑,金,4,-0.0025923059992113,-25.923059992113,4,17.0,17,3,True,25.923059992113
壬申,金,4,-0.0025823611007925,-25.823611007925,4,16.0,16,3,True,25.823611007925
庚午,木,4,0.0025493229595885,25.493229595884998,4,14.0,14,3,True,25.493229595884998
丙戌,火,4,-0.0025466088617993,-25.466088617993,4,8.0,8,3,True,25.466088617993
壬午,木,4,-0.0025420225840863,-25.420225840862997,4,14.0,14,3,True,25.420225840862997
甲寅,水,4,-0.0025296505249801753,-25.296505249801754,4,17.0,17,3,True,25.296505249801754
庚戌,木,4,0.0025272126149718,25.272126149718,4,13.0,13,3,True,25.272126149718
辛亥,水,4,-0.002485038633535875,-24.85038633535875,4,16.0,16,3,True,24.85038633535875
辛丑,水,4,-0.002480408096248225,-24.80408096248225,4,16.0,16,3,True,24.80408096248225
辛巳,金,4,-0.002472637646050375,-24.726376460503747,4,17.0,17,3,True,24.726376460503747
辛丑,火,4,0.002444809011716425,24.448090117164252,4,8.0,8,3,True,24.448090117164252
丙子,木,4,0.0024293991710093,24.293991710093,4,17.0,17,3,True,24.293991710093
癸亥,金,4,0.0024073577172933,24.073577172933,4,16.0,16,3,True,24.073577172933
辛巳,土,4,0.0023861028869816,23.861028869816,4,8.0,8,3,True,23.861028869816
庚申,水,4,-0.0023485862289319252,-23.485862289319254,4,15.0,15,3,True,23.485862289319254
戊申,木,4,0.00233767132029655,23.3767132029655,4,16.0,16,3,True,23.3767132029655
戊戌,土,4,0.00230901943212965,23.0901943212965,4,7.0,7,3,True,23.0901943212965
戊辰,火,4,0.0022749061116671,22.749061116671,4,8.0,8,3,True,22.749061116671
甲辰,土,4,-0.002209713868674175,-22.09713868674175,4,8.0,8,3,True,22.09713868674175
乙亥,火,4,-0.00220909561266625,-22.0909561266625,4,8.0,8,3,True,22.0909561266625
乙卯,水,4,-0.0021697312530672,-21.697312530671997,4,16.0,16,3,True,21.697312530671997
