ts_code,maxlags,group_value,marginal_effect_vs_all,se_effect,z_effect,p_value_effect,q_value_effect
399001.SZ,5,乙,8.71501312536321e-05,0.0007500909395591295,0.1161860871227895,0.9075050629403901,0.9873000373716316
399001.SZ,5,丙,-0.0023395228254405468,0.0008063506779283065,-2.9013714373643222,0.0037153319798396496,0.0371533197983965
399001.SZ,5,丁,0.001116195842916559,0.0007960504927393426,1.402167140272149,0.16086534161065702,0.5362178053688568
399001.SZ,5,戊,0.0004585324466233557,0.0007496709953260731,0.611644907542294,0.5407727194895106,0.9873000373716316
399001.SZ,5,己,0.00021785291781384873,0.0006934268477393903,0.31416856518327946,0.7533930161798583,0.9873000373716316
399001.SZ,5,庚,1.1911258825399754e-05,0.0007483020599387786,0.015917714868210007,0.9873000373716315,0.9873000373716316
399001.SZ,5,辛,5.4036500728399915e-05,0.0006865775525678319,0.07870414715176859,0.9372679467652655,0.9873000373716316
399001.SZ,5,壬,0.00020990040346847608,0.0007006074161168991,0.29959774709757486,0.7644840028394123,0.9873000373716316
399001.SZ,5,癸,0.001053909223984391,0.0007226301009815715,1.4584352666085076,0.14472060584146262,0.5362178053688568
399001.SZ,10,甲,-0.0008231424895687714,0.0006980480040251717,-1.1792061359996222,0.23831610335285125,0.5957902583821282
399001.SZ,10,乙,8.71501312536321e-05,0.0007524229106432414,0.11582599362787607,0.9077904492249965,0.9870352493255968
399001.SZ,10,丙,-0.0023395228254405468,0.0008044367466175701,-2.908274435842944,0.00363429250116132,0.036342925011613195
399001.SZ,10,丁,0.001116195842916559,0.0008191636570990219,1.362604203987081,0.17300728320530678,0.5766909440176893
399001.SZ,10,戊,0.0004585324466233557,0.0007737045298113796,0.5926454207721137,0.553418475015929,0.9870352493255968
399001.SZ,10,己,0.00021785291781384873,0.0006902151514340441,0.3156304485075714,0.752283023667109,0.9870352493255968
399001.SZ,10,庚,1.1911258825399754e-05,0.0007330176664921033,0.016249620397829786,0.9870352493255967,0.9870352493255968
399001.SZ,10,辛,5.4036500728399915e-05,0.000680950353387982,0.0793545380504585,0.9367506279356859,0.9870352493255968
399001.SZ,10,壬,0.00020990040346847608,0.0006860271243681547,0.3059651667006589,0.7596311676502858,0.9870352493255968
399001.SZ,10,癸,0.001053909223984391,0.0007196813597762968,1.4644108947214978,0.14308171312219092,0.5766909440176893
